site,tree_typo,tree_cored,species,dbh,same_individual,dead
mikeletetxe,recently_established,101,Fagus sylvatica,50.4,NA,FALSE
mikeletetxe,recently_established,101,Fagus sylvatica,24.5,NA,FALSE
mikeletetxe,recently_established,101,Fagus sylvatica,44.9,NA,FALSE
mikeletetxe,recently_established,101,Fagus sylvatica,25.2,NA,FALSE
mikeletetxe,recently_established,101,Fagus sylvatica,27.3,NA,FALSE
mikeletetxe,recently_established,101,Fagus sylvatica,30.5,NA,FALSE
mikeletetxe,recently_established,101,Fagus sylvatica,23,NA,FALSE
mikeletetxe,recently_established,101,Fagus sylvatica,49.2,NA,FALSE
mikeletetxe,recently_established,101,Fagus sylvatica,28.1,NA,FALSE
mikeletetxe,recently_established,101,Fagus sylvatica,37,NA,FALSE
mikeletetxe,recently_established,102,Fagus sylvatica,17.1,NA,FALSE
mikeletetxe,recently_established,102,Fagus sylvatica,13.5,NA,TRUE
mikeletetxe,recently_established,102,Fagus sylvatica,42.6,NA,FALSE
mikeletetxe,recently_established,102,Fagus sylvatica,20.7,NA,FALSE
mikeletetxe,recently_established,102,Fagus sylvatica,36.5,NA,FALSE
mikeletetxe,recently_established,102,Fagus sylvatica,38,NA,FALSE
mikeletetxe,recently_established,102,Fagus sylvatica,24.7,NA,FALSE
mikeletetxe,recently_established,102,Fagus sylvatica,21.9,NA,TRUE
mikeletetxe,recently_established,102,Fagus sylvatica,26.9,NA,FALSE
mikeletetxe,recently_established,102,Fagus sylvatica,59.7,NA,FALSE
mikeletetxe,recently_established,102,Fagus sylvatica,45.5,NA,FALSE
mikeletetxe,recently_established,102,Fagus sylvatica,17.6,NA,FALSE
mikeletetxe,recently_established,102,Fagus sylvatica,27.1,NA,FALSE
mikeletetxe,recently_established,102,Fagus sylvatica,31,NA,FALSE
mikeletetxe,recently_established,103,Quercus petraea,35,NA,FALSE
mikeletetxe,recently_established,103,Fagus sylvatica,17,NA,FALSE
mikeletetxe,recently_established,103,Fagus sylvatica,32.5,NA,FALSE
mikeletetxe,recently_established,103,Fagus sylvatica,21,NA,FALSE
mikeletetxe,recently_established,103,Fagus sylvatica,27.5,NA,FALSE
mikeletetxe,recently_established,103,Fagus sylvatica,34,NA,FALSE
mikeletetxe,recently_established,103,Quercus petraea,28,NA,FALSE
mikeletetxe,recently_established,103,Fagus sylvatica,16,NA,FALSE
mikeletetxe,recently_established,103,Fagus sylvatica,29,NA,FALSE
mikeletetxe,recently_established,103,Fagus sylvatica,40.5,NA,FALSE
mikeletetxe,recently_established,103,Fagus sylvatica,22.5,NA,FALSE
mikeletetxe,recently_established,103,Fagus sylvatica,27,NA,FALSE
mikeletetxe,recently_established,103,Fagus sylvatica,39.5,NA,FALSE
mikeletetxe,recently_established,103,Fagus sylvatica,29.5,a,TRUE
mikeletetxe,recently_established,103,Fagus sylvatica,26,a,TRUE
mikeletetxe,recently_established,104,Fagus sylvatica,29,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,29.6,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,30.9,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,34.6,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,16.2,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,12.3,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,13.4,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,33,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,33.5,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,19.5,NA,TRUE
mikeletetxe,recently_established,104,Fagus sylvatica,12.5,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,17.7,a,TRUE
mikeletetxe,recently_established,104,Fagus sylvatica,22,a,TRUE
mikeletetxe,recently_established,104,Fagus sylvatica,9,NA,TRUE
mikeletetxe,recently_established,104,Fagus sylvatica,21.2,NA,FALSE
mikeletetxe,recently_established,104,Quercus petraea,36.7,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,19,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,30.7,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,24.3,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,32.1,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,20.4,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,27.2,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,24.4,NA,FALSE
mikeletetxe,recently_established,104,Fagus sylvatica,27.8,NA,FALSE
mikeletetxe,recently_established,105,Fagus sylvatica,49.3,NA,FALSE
mikeletetxe,recently_established,105,Fagus sylvatica,49.6,NA,FALSE
mikeletetxe,recently_established,105,Fagus sylvatica,36.2,NA,FALSE
mikeletetxe,recently_established,105,Fagus sylvatica,23.4,NA,FALSE
mikeletetxe,recently_established,105,Fagus sylvatica,54.8,NA,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,29,NA,FALSE
mikeletetxe,recently_established,106,Quercus petraea,38.2,a,FALSE
mikeletetxe,recently_established,106,Quercus petraea,37.3,a,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,24.1,NA,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,30,b,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,24,b,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,12.2,NA,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,22.6,c,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,13.7,c,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,14.3,NA,TRUE
mikeletetxe,recently_established,106,Fagus sylvatica,22.4,NA,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,19.6,NA,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,7.5,NA,TRUE
mikeletetxe,recently_established,106,Fagus sylvatica,24.5,NA,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,18.2,NA,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,11.1,NA,FALSE
mikeletetxe,recently_established,106,Fagus sylvatica,28.6,NA,FALSE
