x,y,lonlat,perimeter,diameter,localidad,f.use
547936,4757717,42.970599168911576 -2.4121627025306225,377,,1,pollard_prun
547950,4757737,42.970780679024756 -2.411995818838477,601,,2,pollard_prun
547958,4757704,42.97048148699105 -2.4118974152952433,300,,3,pollard_prun
547969,4757689,42.97034100629389 -2.4117623828351498,288,,4,pollard_prun
547983,4757668,42.97015446703881 -2.4115866143256426,223,,5,pollard_prun
547967,4757635,42.96986034605652 -2.4117887020111084,216,,6,pollard_prun
547987,4757624,42.96976202633232 -2.4115424416959286,308,,7,pollard_prun
547949,4757629,42.96980737242848 -2.4120112415403128,395,,8,pollard_prun
547933,4757619,42.96971726696938 -2.412202935665846,228,,9,pollard_prun
547950,4757654,42.970032803714275 -2.4119969084858894,300,,10,pollard_prun
547927,4757686,42.97032118309289 -2.4122777860611677,398,,11,pollard_prun
547968,4757766,42.971036243252456 -2.4117680825293064,366,,12,pollard_prun
547986,4757760,42.97098549082875 -2.4115471355617046,273,,13,pollard_prun
547999,4757793,42.971282922662795 -2.4113896396011114,246,,14,pollard_prun
548046,4757790,42.97124616801739 -2.4108093604445457,308,,15,pollard_prun
547983,4757736,42.970769656822085 -2.4115804117172956,252,,16,pollard_prun
548006,4757728,42.97069505788386 -2.411304898560047,344,,17,pollard_prun
548006,4757741,42.97080976422876 -2.4113051500171423,240,,18,pollard_prun
547988,4757708,42.970510865561664 -2.411522911861539,258,,19,pollard_prun
547972,4757626,42.969776024110615 -2.411731956526637,260,,20,pollard_prun
547974,4756985,42.96400680206716 -2.411755844950676,244,,21,pollard_prun
547980,4757010,42.96422795858234 -2.411688370630145,299,,22,pollard_prun
547934,4757057,42.96465778257698 -2.4122401513159275,260,,23,pollard_prun
547951,4757106,42.96509242616594 -2.4120301846414804,238,,24,pollard_prun
547989,4757107,42.96510043088347 -2.411562306806445,242,,25,pollard_prun
547947,4757123,42.965251808054745 -2.4120808113366365,284,,26,pollard_prun
547980,4757159,42.965569398365915 -2.4116763845086098,233,,27,pollard_prun
547981,4757175,42.96571587212384 -2.411661883816123,232,,28,pollard_prun
547986,4757229,42.96619833447039 -2.4115937389433384,219,,29,pollard_prun
547979,4757192,42.96586729120463 -2.411680994555354,236,,30,pollard_prun
547934,4757223,42.96614888124168 -2.4122245609760284,280,,31,pollard_prun
547910,4757214,42.966072019189596 -2.412520693615079,195,,32,pollard_prun
547885,4757149,42.96548436395824 -2.4128330033272505,264,,33,pollard_prun
547866,4757120,42.96522607561201 -2.4130759947001934,315,,34,pollard_prun
547829,4757088,42.964938073419034 -2.4135295394808054,252,,35,pollard_prun
547824,4757069,42.96477349475026 -2.413587709888816,259,,36,pollard_prun
547830,4757049,42.96459403820336 -2.4135153740644455,281,,37,pollard_prun
547853,4757051,42.96460698824376 -2.413239860907197,340,,38,pollard_prun
547873,4757059,42.964680287986994 -2.412988906726241,203,,39,pollard_prun
547884,4757069,42.9647672502324 -2.4128527007997036,279,,40,pollard_prun
547924,4757343,42.96723257750273 -2.4123455956578255,280,,41,pollard_prun
547946,4757364,42.96741773374379 -2.41207268089056,248,,42,pollard_prun
547974,4757366,42.96743780840188 -2.4117233231663704,223,,43,pollard_prun
547979,4757344,42.96723597217351 -2.4116685893386602,313,,44,pollard_prun
